ID,NOMBRE,APELLIDO,FOTOPERFIL,SUELDO,PUESTO,CONTRASENA
1,Miguel,Acha,SinDefinir,3000,JEFE,achamiguel
2,Raquel,Santamaria,SinDefinir,1500,EMPLEADO,santamariaraquel
3,Iker,Ordonez,SinDefinir,3200,JEFE,ordoneziker
4,Elisa,Gonzalez,SinDefinir,1150,EMPLEADO,gonzalezelisa
5,Benat,Cristobal,SinDefinir,3000,JEFE,cristobalbenat
6,Raquel,Rico,SinDefinir,1800,ENCARGADO,ricoraquel
7,Benat,Burgoa,SinDefinir,3300,JEFE,burgoabenat
8,Sandra,Rubio,SinDefinir,900,EMPLEADO,rubiosandra
9,Oscar,Perez,SinDefinir,2000,ENCARGADO,perezoscar
10,Ane,Telleria,SinDefinir,1600,EMPLEADO,telleriaane
